,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
272,83.584274,86.20312,38.329018,92.25977,165.05742,72.01388,37.47574,63.613842,132.41052,177.6702,0.4619271,62399.246,0.522433
273,83.5526,86.06863,38.26011,92.88702,165.60725,71.85813,36.765087,63.048824,132.37013,175.02216,0.4194726,60635.312,0.47663796
274,83.475655,85.918594,38.159214,93.086235,165.5788,71.87408,36.148636,62.22788,132.37761,174.11333,0.4173093,60840.805,0.47570422
275,83.50129,85.86436,38.197636,93.53292,165.87271,72.01388,35.81751,63.49976,132.34062,173.33464,0.40319836,59390.492,0.4740334
276,83.5049,85.803116,38.249344,93.82892,166.02032,72.18057,35.82855,63.840694,132.33904,172.33301,0.41685408,60681.906,0.48137316
277,83.49638,86.02432,38.428955,93.98322,166.08936,72.49845,35.98312,64.75641,132.41599,170.91127,0.4273727,60857.453,0.48209742
278,83.50727,86.125916,38.55742,93.34181,166.09169,72.7643,36.302994,65.294365,132.48146,171.62462,0.4752097,62255.5,0.5300609
279,83.39618,86.20178,38.61359,92.138626,165.99142,72.83374,36.666218,65.56688,132.60857,173.52994,0.4585605,62076.047,0.5194854
280,83.406296,86.21105,38.61158,92.837166,165.93462,73.00097,36.819973,65.91276,132.59149,175.04956,0.43343934,61081.164,0.5034228
281,83.49762,86.26529,38.559734,92.57348,165.96323,72.95153,36.589256,66.066216,132.52596,175.18636,0.42958617,61184.418,0.5017127
282,83.555214,86.14841,38.545666,92.430885,165.78644,72.90497,36.622246,65.4355,132.52956,176.60419,0.42138386,60811.023,0.502255
283,83.600945,86.23655,38.53116,91.84676,165.69997,72.97389,37.072014,66.20988,132.56645,180.1709,0.41608486,60856.168,0.49260694
284,83.45171,85.73196,38.42308,93.242516,166.03459,72.8777,36.325035,65.91276,132.55945,176.34425,0.39977038,58988.535,0.47874203
285,83.51193,85.35062,38.42308,93.455124,166.09157,72.71919,36.347073,66.55939,132.57614,175.35019,0.4086868,57373.51,0.49402282
286,83.45171,85.49572,38.451958,92.958206,165.99536,72.92272,36.918682,66.85261,132.5698,177.32545,0.41699037,57983.637,0.49522308
287,83.55607,85.49837,38.476887,92.352455,165.47993,72.98755,37.23597,67.281044,132.59001,178.37202,0.42614558,60340.332,0.50748235
288,83.592415,85.68084,38.60136,91.47063,165.13632,72.99831,37.246883,67.55117,132.61125,180.00948,0.41304788,60491.31,0.5153106
289,83.60752,85.65941,38.62921,91.23031,165.23982,73.18685,37.67121,68.130905,132.61041,178.90228,0.40081438,60024.016,0.50101864
290,83.6105,85.632805,38.65641,91.23031,165.15053,73.14123,37.29054,68.644455,132.61794,178.31963,0.41133624,59335.582,0.49423048
291,83.58427,85.908745,38.704033,90.36335,165.15993,73.2586,38.24245,69.344,132.58046,179.36813,0.42214704,60429.504,0.4976619
292,83.57751,85.80096,38.72413,90.30114,165.03767,73.313835,38.092243,69.30023,132.56245,178.53763,0.40709406,59087.773,0.4807915
293,83.58129,85.74559,38.702675,90.66898,164.87239,73.288506,38.19958,69.30023,132.57156,178.33707,0.39556938,60346.83,0.483104
294,83.57553,85.77246,38.72868,90.68991,164.53366,73.268616,38.487988,69.418396,132.52603,179.04063,0.3872507,59559.594,0.47858152
295,83.564064,85.818184,38.75761,90.12207,163.52162,73.275475,39.172596,70.04432,132.25203,179.27351,0.41176534,62016.2,0.49583265
296,83.601074,85.76132,38.75761,90.6411,163.69383,73.36717,39.099594,69.90415,132.28003,178.26718,0.41838592,61548.766,0.49284708
