,appl,boa,ford,msft
130,170.858017,26.998756,11.552163,305.063965
131,172.638504,26.666883,11.581385,310.340485
132,172.827499,26.73521,11.561903,308.154358
133,171.89119,26.442383,11.367094,307.021545
134,171.393173,26.988993,11.337873,307.508453
135,171.393173,26.705929,10.957995,309.774078
136,172.010727,27.887003,11.201507,312.701935
137,174.361435,27.789391,11.337873,317.203247
138,174.471024,27.437998,11.347613,317.023956
139,173.514786,27.6625,11.328132,319.852234
140,170.885178,27.896763,11.425536,313.956696
141,171.164063,27.42824,11.035919,312.552551
142,172.30954,27.496563,11.084621,324.572632
143,174.739944,27.633217,11.776194,331.513855
144,176.602585,27.584412,12.263215,329.840759
145,176.552795,27.12565,11.688529,327.03244
146,179.381607,27.332264,11.795673,331.205078
147,180.23822,28.247272,12.068406,334.013458
148,178.873611,28.080015,12.263215,334.551239
149,178.505081,28.758892,12.59439,332.300537
150,177.120544,29.004864,13.237259,322.043152
151,179.859726,28.758892,13.227519,323.915375
152,180.248199,28.79825,13.383366,325.439056
153,183.067062,28.660505,13.422326,330.478149
154,182.588943,28.926153,13.763244,332.908051
155,183.226425,28.650667,13.831426,335.945435
156,185.278336,28.896639,14.074936,346.66095
157,184.192612,28.71954,14.045715,340.914795
158,184.282257,28.404696,13.850906,336.652496
159,183.236404,28.109531,13.656098,332.18103
160,186.26442,27.509361,13.821685,338.305634
161,185.945679,27.302748,13.656098,333.63501
162,184.541245,27.637268,13.743761,327.241577
163,187.320251,27.784849,14.035975,333.18689
164,188.505585,27.61759,14.406112,334.461609
165,188.844238,28.19808,14.561959,333.664886
166,193.207016,28.227596,14.737287,339.132202
167,191.702972,28.729378,14.844431,336.592743
168,190.577408,28.611311,14.951576,336.752075
169,191.055511,27.824205,14.59118,339.859192
170,189.929947,28.070175,14.59118,335.825928
171,187.868103,28.19808,14.678843,330.458191
172,187.340179,28.552279,14.83469,331.095581
173,189.023544,28.886799,14.824951,335.806
174,189.790512,29.191803,14.795729,341.243439
175,189.939926,28.640827,14.59118,343.812775
176,193.226929,28.926153,13.724281,344.300751
177,192.967957,30.205202,13.802204,358.003845
178,194.332581,31.021824,13.734021,353.612091
179,192.370331,31.179245,13.665838,345.436035
180,191.185013,31.464571,13.568435,342.348846
181,191.991806,32.123772,13.74567,343.683289
182,192.858383,31.631832,13.371504,349.529053
183,193.73494,31.88764,13.460123,336.373657
184,192.459961,31.435057,13.519201,329.352783
185,195.059708,31.38586,13.056417,336.971161
186,195.677261,31.484249,13.007185,334.531311
187,194.840561,31.110374,13.213961,334.949554
188,191.822495,30.687305,12.839795,326.146118
189,190.41803,30.903757,12.898874,325.30957
190,181.274155,30.79553,12.692099,326.424957
191,178.146484,31.366182,12.74133,328.7453
192,179.092743,30.766014,12.682252,324.702087
193,177.48909,30.362623,12.534554,320.897919
194,177.269958,30.441334,11.973306,321.594971
195,177.329803,30.785692,11.953613,319.682953
196,178.995483,30.431494,12.012691,322.700439
197,176.990677,29.457451,11.796069,320.529388
198,176.112961,28.817926,11.62868,319.751007
199,173.549622,28.808088,11.648373,316.238159
200,174.038345,28.640827,11.776377,315.838959
201,175.384842,28.680183,11.786223,321.228027
202,176.77124,27.981627,11.687758,321.806824
203,180.651184,27.991467,11.776377,326.337646
204,175.923447,28.158726,11.5696,319.321899
205,178.147675,28.040659,11.727144,322.325806
206,179.723587,28.296469,11.717298,323.044342
207,183.643417,28.69986,11.864995,327.744781
208,187.164276,28.571957,11.845302,328.124023
209,187.383713,28.442986,11.943767,327.09613
210,188.969604,28.75053,11.953613,327.994293
211,189.208969,28.423143,11.904381,332.874359
212,182.436554,28.165203,11.884687,332.20575
213,177.100403,27.907261,11.776377,329.24176
214,177.718781,28.135441,12.111156,333.592896
215,178.895737,28.25449,12.032385,337.255493
216,175.843658,28.74061,12.258853,331.097961
217,173.759064,28.651321,12.445936,335.379303
218,175.285126,28.96879,12.426243,338.013947
219,174.556976,28.611639,12.416396,329.551117
220,177.509338,28.532274,12.150542,328.393463
221,178.606491,28.423143,12.367165,327.984283
222,175.035751,28.323935,12.170235,320.12027
223,173.479797,27.827894,12.012691,318.882782
224,174.337555,27.421141,12.239161,316.367889
225,175.624222,27.381458,12.386857,316.89682
226,171.514893,26.954863,12.239161,311.507751
227,169.988831,27.054071,12.199775,312.156433
228,170.248184,27.341774,12.367165,313.00473
229,170.76683,27.1632,12.229314,315.110443
230,173.300262,26.488585,12.121003,321.148163
231,171.953751,25.70484,11.884687,312.755219
232,173.210495,25.734604,11.805916,318.313934
233,174.45726,25.853651,11.717298,318.713104
234,177.030594,25.863573,11.815763,326.597137
235,178.526703,26.101673,11.884687,329.151947
236,177.928253,26.796131,12.012691,327.724854
237,179.334595,26.806051,12.061924,331.746674
238,180.242249,26.687,11.815763,330.489227
239,178.387054,26.548109,11.62868,327.066193
240,178.257401,26.776289,11.746838,331.966248
241,176.691452,27.4013,11.855148,331.38739
242,175.384842,27.093754,11.5696,329.441345
243,175.005844,26.746525,11.352978,330.648895
244,172.43251,26.101673,11.461289,326.008331
245,172.5522,25.367533,11.303745,328.652954
246,172.991058,25.268324,11.215128,329.860504
247,170.657135,25.347691,11.362824,339.97998
248,166.458023,25.913177,11.175742,327.225861
249,167.784576,24.970699,9.807083,329.141968
250,169.849197,25.486582,9.62,336.62677
