Date,USDT-USD,TRX-USD,ETH-USD,XMR-USD,BTC-USD,EOS-USD,XLE,XLF,XLP,XLC,XRP-USD,ADA-USD,XLB,XLU,XLV,XLM-USD,IOT-USD,XLY,XLK,LINK-USD,XLI,DASH-USD,BCH-USD,XLRE,LTC-USD,BNB-USD
2018-12-24,1.0157769918441772,0.0210699997842311,140.23800659179688,56.33517837524414,4078.59912109375,2.789315938949585,40.79666519165039,19.89980697631836,41.8695068359375,37.00545501708984,0.4067989885807037,0.0457159988582134,42.10793685913086,42.98176956176758,73.1797103881836,0.1325200051069259,,87.11516571044922,54.437625885009766,0.3079519867897033,54.68937301635742,92.44371032714844,182.2596740722656,24.68233299255371,33.1966667175293,6.144924163818359
2018-12-25,1.0190500020980835,0.0200079996138811,129.84434509277344,50.592655181884766,3815.49072265625,2.5228850841522217,,,,,0.3808720111846924,0.0415109992027282,,,,0.1216820031404495,,,,0.3176620006561279,,83.95686340332031,170.9093475341797,,31.13432884216309,5.547574996948242
2018-12-26,1.0195499658584597,0.0204470008611679,131.86563110351562,49.37469100952149,3857.297607421875,2.602479934692383,43.335086822509766,20.800697326660156,43.03805160522461,39.085052490234375,0.378693014383316,0.0411980003118515,43.99363327026367,43.56529998779297,76.3717041015625,0.1206070035696029,,92.27693176269533,57.72542190551758,0.3075830042362213,57.236209869384766,84.54896545410156,175.5102996826172,25.468917846679688,30.98590087890625,5.713105201721191
2018-12-27,1.0241739749908447,0.018487999215722,116.57591247558594,44.46669387817383,3654.83349609375,2.3222639560699463,43.562408447265625,21.050443649291992,43.45046615600586,39.26546478271485,0.3411619961261749,0.0369439981877803,44.803070068359375,43.932098388671875,77.21504211425781,0.1104860007762909,,92.76940155029295,58.14112091064453,0.2751710116863251,57.95223617553711,76.40447998046875,150.12757873535156,25.52687644958496,28.29450798034668,5.275450229644775
2018-12-28,1.0231599807739258,0.0208679996430873,137.6470184326172,49.77024841308594,3923.918701171875,2.6458890438079834,43.22901153564453,21.041526794433594,43.45046615600586,39.14202880859375,0.3768520057201385,0.0418619997799396,44.56290435791016,44.04047393798828,77.30572509765625,0.1213829964399337,,92.77891540527344,58.00885009765625,0.2983790040016174,57.79816055297851,83.82106018066406,173.9989776611328,25.617958068847656,32.51082992553711,6.0118279457092285
2018-12-29,1.0314730405807495,0.0200040005147457,138.01834106445312,48.112117767333984,3820.40869140625,2.6285669803619385,,,,,0.367251992225647,0.041508000344038,,,,0.1180360019207,,,,0.2999700009822845,,80.345947265625,165.0596466064453,,31.56500244140625,5.832339763641357
2018-12-30,1.0190860033035278,0.0199469998478889,139.8594512939453,48.36430740356445,3865.95263671875,2.6816530227661133,,,,,0.369581013917923,0.0432800017297267,,,,0.1174300014972686,,,,0.2986429929733276,,81.79319763183594,163.62213134765625,,31.976516723632812,5.995710849761963
2018-12-31,1.013721942901611,0.0188260003924369,133.36825561523438,46.22816848754883,3742.700439453125,2.5669310092926025,43.456329345703125,21.246673583984375,43.63090133666992,39.198997497558594,0.3527059853076935,0.0410629995167255,44.936485290527344,44.11549377441406,78.44833374023438,0.1128130033612251,,93.77336120605467,58.55682373046875,0.2894439995288849,58.378231048583984,79.06443786621094,151.0457000732422,25.667640686035156,30.468223571777344,6.164731979370117
2019-01-01,1.018334984779358,0.0195610001683235,140.8194122314453,48.36749649047851,3843.52001953125,2.663532972335815,,,,,0.3647710084915161,0.0425469987094402,,,,0.1159299984574318,,,,0.2993710041046142,,81.05113983154297,164.85459899902344,,31.979930877685547,6.075273036956787
2019-01-02,1.0240119695663452,0.0202220007777214,155.0476837158203,52.25244903564453,3943.409423828125,2.8876290321350098,44.31257629394531,21.42507553100586,43.37313461303711,39.72127914428711,0.3752430081367492,0.0452580004930496,45.167747497558594,43.35688781738281,77.2603759765625,0.1193310022354126,,94.48368072509766,58.5946044921875,0.3164890110492706,58.67731475830078,84.00222778320312,171.82737731933594,25.07976531982422,33.43368148803711,6.188612937927246
2019-01-03,1.0194729566574097,0.0200880002230405,149.135009765625,49.81535720825195,3836.7412109375,2.681411027908325,43.873085021972656,20.943408966064453,43.12396240234375,39.05657577514648,0.3602240085601806,0.0426819995045661,43.88689804077149,43.34855651855469,75.69161224365234,0.1138250008225441,,92.43792724609376,55.63747787475586,0.3659740090370178,56.89180374145508,80.86167907714844,162.0499267578125,25.195680618286133,32.02669906616211,5.903534889221191
2019-01-04,1.017199993133545,0.0214920006692409,154.58193969726562,50.63087463378906,3857.717529296875,2.7216451168060303,45.36582946777344,21.63913917541504,44.04331970214844,40.73733139038086,0.3567470014095306,0.0438119992613792,45.61248397827149,43.99045181274414,77.94955444335938,0.1153609976172447,,95.49708557128906,58.10332107543945,0.4371750056743622,59.048927307128906,81.19796752929688,161.3956298828125,25.45236015319824,32.40416717529297,6.06513786315918
2019-01-05,1.0184890031814575,0.0222939997911453,155.6385955810547,49.93181228637695,3845.194580078125,2.699467897415161,,,,,0.3552750051021576,0.0447009988129138,,,,0.11404599994421,,,,0.3959479928016662,,80.60916137695312,160.40121459960938,,34.936866760253906,6.065543174743652
2019-01-06,1.0235780477523804,0.023004999384284,157.74620056152344,54.8765869140625,4076.632568359375,2.875272035598755,,,,,0.3683950006961822,0.0492610000073909,,,,0.1203840002417564,,,,0.3970099985599518,,85.83500671386719,166.8411865234375,,39.29885482788086,6.395978927612305
2019-01-07,1.0139869451522827,0.0236009992659091,151.69921875,52.82689666748047,4025.248291015625,2.7681760787963867,46.04022216796875,21.665903091430664,43.983184814453125,41.2026252746582,0.3643470108509063,0.0479959994554519,45.772586822509766,43.69034957885742,78.2488021850586,0.1232199966907501,,97.656494140625,58.62295150756836,0.376473993062973,59.529293060302734,83.34038543701172,161.2439727783203,25.667640686035156,37.8062744140625,6.29141092300415
2019-01-08,1.0193500518798828,0.0263359993696212,150.35963439941406,53.15544509887695,4030.847900390625,2.7975850105285645,46.396358489990234,21.683738708496097,44.38701248168945,41.89583206176758,0.3653149902820587,0.0485250018537044,46.2529182434082,44.23220443725586,78.85637664794922,0.1231189966201782,,98.73619079589844,59.11423110961914,0.4241980016231537,60.34499740600586,81.67923736572266,161.91262817382812,26.114748001098633,39.47971725463867,6.640054225921631
2019-01-09,1.0168299674987793,0.0284180007874965,150.80311584472656,52.7138557434082,4035.29638671875,2.912539005279541,47.1313591003418,21.7907772064209,43.974586486816406,41.95281219482422,0.3708899915218353,0.0521689988672733,46.27070999145508,43.96544647216797,79.21004486083984,0.1237739995121955,,99.23816680908205,59.87950897216797,0.4018050134181976,60.75285339355469,85.79923248291016,160.08474731445312,26.00710678100586,38.98553466796875,6.641550064086914
2019-01-10,1.023460030555725,0.0258469991385936,128.62518310546875,45.49613571166992,3678.924560546875,2.436124086380005,47.26775741577149,21.79969596862793,44.23236083984375,42.03827667236328,0.3326520025730133,0.0445289984345436,46.67987060546875,44.540645599365234,79.36418151855469,0.1098790019750595,,98.95404052734376,60.14403533935547,0.3546040058135986,61.5776481628418,73.78189849853516,134.966796875,26.42110824584961,33.86600875854492,5.915918827056885
2019-01-11,1.0233160257339478,0.025127999484539,127.54832458496094,45.80475234985352,3687.365478515625,2.416930913925171,46.987396240234375,21.85321617126465,44.361228942871094,41.82936096191406,0.3329040110111236,0.0441469997167587,46.493072509765625,44.37392807006836,79.62715148925781,0.1073319986462593,,99.04875946044922,60.03065872192383,0.4441930055618286,61.51421356201172,73.78262329101562,131.6685791015625,26.470781326293945,32.32762908935547,6.075342178344727
2019-01-12,1.0208810567855835,0.0234999991953372,125.9665298461914,45.007789611816406,3661.301025390625,2.4273970127105713,,,,,0.3287999927997589,0.0437039993703365,,,,0.1067640036344528,,,,0.4122439920902252,,73.60978698730469,134.38116455078125,,32.38442611694336,5.976964950561523
2019-01-13,1.0200910568237305,0.0212900005280971,116.8978042602539,43.11040115356445,3552.953125,2.260166883468628,,,,,0.3178629875183105,0.0402409993112087,,,,0.1036090031266212,,,,0.4442610144615173,,70.26399230957031,126.34981536865234,,30.332897186279297,5.568757057189941
2019-01-14,1.0208560228347778,0.0256709996610879,129.0687255859375,45.91458511352539,3706.05224609375,2.47906494140625,46.87373352050781,22.004854202270508,44.146427154541016,41.67742538452149,0.3337660133838653,0.0440590009093284,46.13727569580078,43.373565673828125,78.74755859375,0.1096490025520324,,98.4426040649414,59.473243713378906,0.4856599867343902,61.50514221191406,72.97899627685547,133.97984313964844,26.387985229492188,32.35824203491211,6.159282207489014
2019-01-15,1.0205579996109009,0.0245580002665519,122.03271484375,44.95061111450195,3630.67529296875,2.4035770893096924,47.04043197631836,22.201082229614254,44.58463287353515,42.370628356933594,0.3271790146827698,0.0428100004792213,45.83485794067383,43.90708541870117,80.16218566894531,0.1056850031018257,,99.33287811279295,60.37078094482422,0.5187950134277344,61.31480407714844,70.72241973876953,128.48001098632812,26.686059951782227,31.507068634033203,5.919047832489014
2019-01-16,1.018522024154663,0.0251800008118152,123.54706573486328,46.18143844604492,3655.0068359375,2.4474799633026123,46.97981643676758,22.673826217651367,44.34405517578125,42.190208435058594,0.3297010064125061,0.0447769984602928,46.01276397705078,44.06547164916992,80.01708221435547,0.1068909987807273,,99.10556030273438,60.42747116088867,0.4973739981651306,61.37823486328125,71.28009796142578,129.16934204101562,26.810264587402344,31.82341766357422,6.186014175415039
2019-01-17,1.017495036125183,0.0253209993243217,123.7419204711914,45.65363311767578,3678.56396484375,2.5153980255126953,47.41172409057617,22.79869842529297,44.53307342529297,42.36113739013672,0.329353004693985,0.0453180000185966,46.82218551635742,44.248870849609375,80.72439575195312,0.1084610000252723,,99.77802276611328,60.814823150634766,0.4830119907855987,62.42960739135742,72.40779876708984,131.05453491210938,26.94273567199707,31.88865089416504,6.417831897735596
